PROV20;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;Anse-au-Sable;x
PROV29;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;x
PROV35;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;Ruisseau-à-l'Érable;x
PROV92;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;x
PROV97;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV166;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;Fort Crevecœur;x
PROV269;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;x
PROV273;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;x
PROV274;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;x
PROV276;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;x
PROV285;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;x
PROV286;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;x
